decision,id,title,age,ageBand,plan,coverFile,coverExt,flags,rationale
REVIEW,cur-lp-infant-animal-sounds-discovery,"Animal Sounds Discovery","Infant 0–12 Months",infant,Pro,animal-sounds.jpg,jpg,needs_owner_review,"Cute nursery animal band; minor instrument/paw AI artifacts; leans music more than animal-sounds"
REPLACE,cur-lp-infant-colors-all-around-us,"Colors All Around Us","Infant 0–6 Months",infant,Free,colors-all-around-us.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
KEEP,cur-lp-toddler-bugs-and-butterflies,"Bugs & Butterflies","Toddler",toddler,Pro,bugs-butterflies.jpg,jpg,,"Polished watercolor garden insects; theme clear; no baked text"
KEEP,cur-lp-toddler-construction-crew,"Construction Crew","Toddler",toddler,Pro,construction-crew.jpg,jpg,,"Polished cartoon construction play; theme clear"
KEEP,cur-lp-toddler-colors-everywhere,"Colors Everywhere","Toddler",toddler,Pro,colors-everywhere.jpg,jpg,,"Art supplies / color exploration; age-neutral object focus; works toddler+preschool"
KEEP,cur-lp-preschool-weather-watchers,"Weather Watchers","Preschool",preschool,Free,weather-watchers.jpg,jpg,,"Polished weather elements; theme clear"
KEEP,cur-lp-preschool-community-helpers,"Community Helpers","Preschool",preschool,Free,community-helpers.jpg,jpg,,"Helper props street scene; illustrated; no baked text"
KEEP,cur-lp-preschool-colors-everywhere,"Colors Everywhere","Preschool",preschool,Pro,colors-everywhere.jpg,jpg,,"Art supplies / color exploration; age-neutral object focus; works toddler+preschool"
KEEP,cur-lp-preschool-all-about-me,"All About Me","Preschool",preschool,Free,all-about-me.jpg,jpg,,"Classroom identity/mirror scene; polished picture-book style"
KEEP,cur-lp-preschool-farm-animals,"Farm Animals","Preschool",preschool,Free,farm-animals.jpg,jpg,,"Friendly farm animals + barn; strong theme; picture-book style"
REPLACE,cur-lp-19fb3c245b23c300c8b,"Fire Trucks, Safe Helpers and Moving Colors","Infant 6–12 Months",infant,Pro,community-helpers.jpg,jpg,age_mismatch|shared_asset_wrong_age,"Preschool community-helpers street artwork reused on infant helper/vehicle lessons — age/theme mismatch for infants"
REPLACE,cur-lp-19fb3b385454cd884f3,"Grandfriends, Stories and Special Memories","Preschool",preschool,Pro,generic-preschool.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb3a8c4d2ab6b1e42,"Grandfriends, Hugs and Happy Memories","Toddler",toddler,Pro,generic-toddler.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-farm-friends,"Farm Friends","Toddler",toddler,Pro,farm-friends.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-my-five-senses,"My Five Senses","Toddler",toddler,Pro,my-five-senses.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-healthy-me,"Healthy Me","Toddler",toddler,Pro,healthy-me.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-weather-wonders,"Weather Wonders","Toddler",toddler,Pro,weather-wonders.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-friendship-feelings,"Friendship & Feelings","Toddler",toddler,Pro,friendship-feelings.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-under-the-sea,"Under the Sea","Toddler",toddler,Pro,under-the-sea.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-growing-gardens,"Growing Gardens","Toddler",toddler,Pro,growing-gardens.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-my-senses,"My Senses","Infant 0–6 Months",infant,Pro,my-senses.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-black-white-discovery,"Black & White Discovery","Infant 0–6 Months",infant,Pro,black-white-discovery.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-sensory-discovery,"Sensory Discovery","Infant 6–12 Months",infant,Pro,sensory-discovery.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-baby-s-first-conversations,"Baby's First Conversations","Infant 0–6 Months",infant,Pro,babys-first-conversations.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-smiles-expressions,"Smiles & Expressions","Infant",infant,Pro,smiles-expressions.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-family-connections-toddler-the-people-who-love-me,"The People Who Love Me","Toddler",toddler,Pro,people-who-love-me.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-family-connections-toddler-my-home-and-my-family,"My Home & My Family","Toddler",toddler,Pro,my-home-my-family.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-family-connections-toddler-we-belong-together,"We Belong Together","Toddler",toddler,Pro,we-belong-together.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
